subject,session,trial,item,phase,time,stimEnc,stimRetrieval,pairedWords,cue,expectedAnswer,stim_pair,response_time,rec_success,recall,wordlist_number
M1005,0,9,3,RECOGNITION,1730755430170.6655,True,False,"['STRAW', 'SINK']",['STRAW'],old,LD1_LD2,3325.18994140625,hit,old,999
M1005,0,9,4,RECOGNITION,1730755437287.0725,True,False,"['PLAID', 'SHOE']",['PLAID'],old,LD1_LD2,4608.263427734375,false_alarm,new,999
M1005,0,9,5,RECOGNITION,1730755444328.4753,999,False,"['TIE', '']",['TIE'],new,LD1_LD2,2217.126708984375,correct_rejection,new,999
M1005,0,10,0,ENCODING,1730755465694.697,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,10,1,ENCODING,1730755470736.9856,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,10,2,ENCODING,1730755475728.2712,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,10,0,CUEDRECALL,1730755509728.2156,999,True,"['PAIL', 'MOLE']",['PAIL'],['MOLE'],LD1_LD2,8009.251700680272,verbalization,<>,-1
M1005,0,10,1,CUEDRECALL,1730755518852.7375,999,True,"['BRANCH', 'SPRING']",['BRANCH'],['SPRING'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,10,2,CUEDRECALL,1730755527936.257,999,True,"['TOAD', 'HAZE']",['TOAD'],['HAZE'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,10,0,RECOGNITION,1730755541161.0137,False,True,"['HAZE', 'TOAD']",['HAZE'],old,LD1_LD2,5190.296875,false_alarm,new,999
M1005,0,10,1,RECOGNITION,1730755548208.4167,False,True,"['SPRING', 'BRANCH']",['SPRING'],old,LD1_LD2,2428.138916015625,false_alarm,new,999
M1005,0,10,2,RECOGNITION,1730755555261.8203,False,True,"['MOLE', 'PAIL']",['MOLE'],old,LD1_LD2,4281.2451171875,false_alarm,new,999
M1005,0,10,3,RECOGNITION,1730755562362.2266,999,True,"['FOX', '']",['FOX'],new,LD1_LD2,1762.1005859375,correct_rejection,new,999
M1005,0,10,4,RECOGNITION,1730755569478.633,999,True,"['SPACE', '']",['SPACE'],new,LD1_LD2,2841.1630859375,correct_rejection,new,999
M1005,0,10,5,RECOGNITION,1730755576555.038,999,True,"['NET', '']",['NET'],new,LD1_LD2,2049.1171875,correct_rejection,new,999
M1005,0,11,0,ENCODING,1730755598095.27,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,11,1,ENCODING,1730755603036.553,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,11,2,ENCODING,1730755608045.8394,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,0,11,0,CUEDRECALL,1730755637886.546,999,False,"['SEAT', 'TOOL']",['SEAT'],['TOOL'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,11,1,CUEDRECALL,1730755646936.0635,999,False,"['BAG', 'POLE']",['BAG'],['POLE'],LD1_LD2,8017.074829931973,verbalization,<>,-1
M1005,0,11,2,CUEDRECALL,1730755656043.5845,999,False,"['CUBE', 'MOOSE']",['CUBE'],['MOOSE'],LD1_LD2,8016.575963718822,verbalization,<>,-1
M1005,0,11,0,RECOGNITION,1730755669901.3772,999,False,"['PEARL', '']",['PEARL'],new,LD1_LD2,2315.13232421875,correct_rejection,new,999
M1005,0,11,1,RECOGNITION,1730755676991.783,999,False,"['HOSE', '']",['HOSE'],new,LD1_LD2,2586.147705078125,correct_rejection,new,999
M1005,0,11,2,RECOGNITION,1730755684012.1843,False,False,"['MOOSE', 'CUBE']",['MOOSE'],old,LD1_LD2,3590.205322265625,false_alarm,new,999
M1005,0,11,3,RECOGNITION,1730755691178.594,False,False,"['POLE', 'BAG']",['POLE'],old,LD1_LD2,2957.169189453125,false_alarm,new,999
M1005,0,11,4,RECOGNITION,1730755698252.9988,False,False,"['TOOL', 'SEAT']",['TOOL'],old,LD1_LD2,3521.201416015625,false_alarm,new,999
M1005,0,11,5,RECOGNITION,1730755705258.3994,999,False,"['LAND', '']",['LAND'],new,LD1_LD2,3028.17333984375,miss,old,999
M1005,1,0,0,ENCODING,1730928510486.1404,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,0,1,ENCODING,1730928515523.429,False,999,999,999,999,LD1_LD2,999,999,999,999
M1005,1,0,2,ENCODING,1730928520512.7139,False,999,999,999,999,LD1_LD2,999,999,999,999
